Rubrique,Détail
Volume estimé,"Environ 300 nouvelles demandes par an sur l'ensemble du territoire, dont environ 180 à Lomé."
,,
PIÈCES JUSTIFICATIVES,,
Dossier administratif du promoteur,"• Demande manuscrite ou tapée adressée au Directeur de l'Enseignement Privé
• Copie de la pièce d'identité (CNI ou passeport)
• Casier judiciaire vierge datant de moins de 3 mois
• Justificatif de domicile
• Pour les personnes morales : statuts, récépissé de déclaration ou immatriculation RCCM"
Dossier de l'établissement,"• Plan de situation et plan d'ensemble des locaux (signé par un technicien ou architecte)
• Titre de propriété ou bail commercial des locaux (minimum 3 ans)
• Attestation de conformité sanitaire (direction régionale de la santé)
• Rapport d'inspection de la mairie (sécurité incendie, voies d'accès)
• Liste nominative et diplômes du personnel enseignant prévu
• Projet pédagogique (objectifs, niveaux, effectifs prévus, méthodes)"
Documents financiers,"• Preuve de capacité financière (relevé bancaire 3 derniers mois ou attestation bancaire)
• Tableau de financement prévisionnel sur 3 ans"
Coût,"Frais de dossier : 25 000 FCFA (non remboursables)
Frais d'inspection : 15 000 FCFA par visite
Paiement : espèces uniquement à la caisse MEPS"
,,
ÉTAPES DU PROCESSUS CÔTÉ CITOYEN,,
Étape 1,Retrait du guide de procédures à la DEP (Lomé) ou au bureau régional. Constitution du dossier complet.
Étape 2,"Dépôt physique au bureau de la DEP. Remise d'un récépissé numéroté au promoteur."
Étape 3,"Examen préliminaire du dossier : vérification de la complétude des pièces. En cas de manque, lettre de notification envoyée au promoteur."
Étape 4,"Visite d'inspection sur site par un inspecteur de la DEP. Rédaction d'un procès-verbal de conformité ou de non-conformité."
Étape 5,"Délibération de la commission technique de la DEP : avis favorable ou défavorable sur la base du dossier et du PV d'inspection."
Étape 6,"Avis favorable : signature de l'arrêté d'autorisation par le Directeur et contresignature par le Ministre. Notification par courrier officiel."
Étape 7,"Avis défavorable : lettre motivée précisant les non-conformités à corriger. Possibilité de re-dépôt dans les 6 mois sans nouveaux frais."
Étape 8,L'établissement peut ouvrir à la rentrée scolaire suivante. Enregistrement dans la base des établissements privés du MEPS et contrôles périodiques.
,,
ACTIONS INTERNES DES AGENTS,,
Agent d'accueil DEP,"Réception du dossier, délivrance du récépissé, enregistrement dans le registre papier."
Agent instructeur DEP,"Examen du dossier pédagogique et administratif, rédaction du rapport d'instruction préliminaire."
Inspecteur de visite,"Visite des locaux, rédaction du procès-verbal sur la grille officielle d'inspection."
Commission technique DEP,"Délibération collégiale, émission d'un avis motivé."
Directeur de l'Enseignement Privé,Signature de l'arrêté d'autorisation ou de la lettre de refus.
Ministre des Enseignements Primaire et Secondaire,Contresignature de l'arrêté pour les établissements secondaires.
,,
GOULOTS D'ÉTRANGLEMENT IDENTIFIÉS,,
Goulot 1,"Dossier trop complexe pour les petits promoteurs ruraux. Taux de dossiers incomplets au premier dépôt : environ 45 %."
Goulot 2,"Délai de planification des visites d'inspection : 6 à 10 semaines d'attente en moyenne faute d'inspecteurs disponibles."
Goulot 3,"Absence de suivi en ligne : le promoteur doit se rendre physiquement à la DEP pour connaître l'état de son dossier."
Goulot 4,"Lourdeur de la chaîne de signature ministérielle : ralentissement de plusieurs semaines à ce stade."
Goulot 5,"Ouvertures illégales difficiles à détecter : nombreux établissements ouverts sans autorisation faute de suivi efficace."
,,
OUTILS ACTUELS,,
Système de gestion,"Excel pour le suivi des dossiers (fichier local, non partagé entre agents). Registres papier pour les archives."
Rédaction des arrêtés,Word avec modèles standardisés — numérotation manuelle.
Communication avec les promoteurs,Courrier physique et appel téléphonique uniquement.
Stockage des dossiers,"Classeurs physiques à la DEP. Pas de numérisation systématique. Risque élevé de perte en cas de sinistre."
Base de données centralisée,Non — liste des établissements privés sur Excel local non interconnecté.
,,
STATISTIQUES,,
Demandes par an,Environ 300 dossiers déposés
Autorisations délivrées par an,Environ 200
Taux de dossiers incomplets au 1er dépôt,Environ 45 %
Taux de refus définitifs,Environ 10 %
Délai moyen de traitement complet,"6 à 12 mois entre le dépôt et la délivrance de l'arrêté"
Nombre d'agents impliqués,8 agents permanents DEP + environ 15 inspecteurs pédagogiques mobilisables pour les visites
Périodes de forte activité,Mars–juin (avant la rentrée de septembre) : pic de dépôt des dossiers
,,
DOCUMENT DÉLIVRÉ,,
Nature du document,"Arrêté ministériel d'autorisation d'ouverture : document officiel portant le numéro d'arrêté, le nom de l'établissement, les niveaux autorisés, l'adresse, l'identité du promoteur et la date d'effet."
Durée de validité,"Permanente, sous réserve de conformité lors des contrôles périodiques. Soumise à renouvellement en cas de changement de promoteur, de locaux ou de niveaux."
,,
DIFFICULTÉS ET AXES D'AMÉLIORATION,,
Principales difficultés,"• Dossier trop complexe pour les promoteurs ruraux
• Manque d'inspecteurs disponibles
• Aucun suivi numérique du dossier
• Ouvertures non autorisées difficiles à détecter
• Lourdeur de la chaîne de signature ministérielle"
Ce qui pourrait être digitalisé,"• Portail de dépôt de dossier en ligne avec upload des pièces scannées
• Paiement des frais en ligne (Flooz, TMoney, Visa)
• Notification automatique par SMS et email à chaque étape
• Calendrier en ligne des visites d'inspection
• Base de données publique des établissements privés autorisés"
Ce qui reste physique obligatoirement,"• La visite d'inspection sur site (présence physique de l'inspecteur)
• La signature physique de l'arrêté ministériel"
Vision future selon les agents,"Le promoteur devrait déposer son dossier en ligne, suivre son avancement en temps réel, recevoir des notifications automatiques. La base des établissements autorisés devrait être publique pour lutter contre les ouvertures illégales."
