Rubrique,Détail
Conditions d'éligibilité,"• Être agent titulaire de la Fonction Publique togolaise
• Avoir atteint l'âge légal de la retraite (60 ans en général) ou remplir les conditions de retraite anticipée (maladie grave invalidante, impossibilité permanente de service)
• Avoir accompli au minimum 15 années de services effectifs pour avoir droit à une pension complète
• Pour la pension de réversion : être le conjoint légal du fonctionnaire décédé, non remarié au moment de la demande"
Volume estimé,"Environ 1 200 nouveaux dossiers de pension par an. Un stock d'environ 35 000 pensionnés actifs est géré mensuellement par la CRT."
,,
PIÈCES JUSTIFICATIVES,,
Dossier de l'agent partant à la retraite,"• Demande manuscrite ou formulaire CRT de liquidation de pension adressée au Directeur de la CRT
• Copie certifiée conforme de l'arrêté de nomination dans la Fonction Publique
• Copie certifiée conforme de l'acte de mise à la retraite (signé par le Ministre de la Fonction Publique)
• Copie de la pièce d'identité nationale (CNI) en cours de validité
• Copie de l'acte de naissance
• Copie légalisée du livret de mariage (si applicable)
• Actes de naissance des enfants à charge (s'il y a lieu)
• Dernier bulletin de salaire
• Relevé des états de services délivré par la DRH du Ministère d'affectation
• Certificat médical d'aptitude (pour les retraites anticipées pour invalidité)
• Relevé d'identité bancaire (RIB) ou numéro de compte CCP"
Dossier de pension de réversion,"• Acte de décès du fonctionnaire
• Copie du titre de pension du fonctionnaire décédé
• Acte de mariage légalisé
• Pièce d'identité du conjoint survivant
• Actes de naissance des enfants orphelins (si pension d'orphelin)
• Certificat de non-remariage (pour le conjoint survivant)"
Coût,Gratuit — aucun frais n'est perçu pour la constitution et le traitement du dossier de pension.
,,
ÉTAPES DU PROCESSUS CÔTÉ CITOYEN,,
Étape 1,"L'agent est informé de sa prochaine mise à la retraite par sa direction RH, au moins 6 mois avant la date prévue. Il retire le guide de constitution du dossier à la CRT ou auprès de sa DRH."
Étape 2,"Constitution du dossier : l'agent réunit l'ensemble des pièces auprès de plusieurs sources (mairie pour les actes civils, DRH pour les états de services, Ministère pour l'arrêté de mise à la retraite). Cette étape prend souvent plusieurs semaines."
Étape 3,"Dépôt du dossier complet à la CRT (Lomé) ou au bureau régional compétent. Un récépissé de dépôt est remis. Un agent CRT vérifie la complétude préliminaire du dossier lors du dépôt."
Étape 4,"Instruction du dossier par la Direction des Pensions : vérification des droits (ancienneté, catégorie, dernier indice), calcul de la pension. En cas de pièce manquante ou incohérente, une lettre de notification est envoyée à l'agent."
Étape 5,"Établissement du titre de pension par la CRT : document officiel précisant le montant mensuel de la pension, les références de l'agent et les modalités de versement."
Étape 6,"Signature du titre de pension par le Directeur Général de la CRT et notification à l'agent. Premier versement effectué le mois suivant la signature, sur le compte bancaire ou CCP indiqué."
Étape 7,"Contrôle d'existence annuel : chaque pensionné doit se présenter une fois par an à la CRT ou à un bureau régional pour attester qu'il est en vie et percevra la suite de sa pension."
,,
ACTIONS INTERNES DES AGENTS,,
DRH du ministère d'affectation,"Établissement et transmission de l'état de services de l'agent, préparation de l'arrêté de mise à la retraite."
Agent de réception CRT,"Vérification préliminaire de la complétude du dossier, remise du récépissé, enregistrement dans le système."
Liquidateur CRT (Direction des Pensions),"Instruction approfondie du dossier, vérification des droits, calcul du montant de la pension selon le barème officiel."
Contrôleur CRT,Contre-vérification du calcul et des données avant production du titre.
Directeur Général CRT,Signature du titre de pension et validation du dossier.
Service comptable CRT,"Ordonnancement du paiement mensuel, mise à jour du fichier des pensionnés actifs."
,,
GOULOTS D'ÉTRANGLEMENT IDENTIFIÉS,,
Goulot 1,"Constitution du dossier très laborieuse pour l'agent : il doit courir de guichet en guichet (mairie, DRH, CRT, banque). Le dossier complet prend en moyenne 2 à 3 mois à rassembler."
Goulot 2,"Retards de transmission des états de services par les DRH des ministères : certains ministères tardent plusieurs mois avant d'établir et de transmettre les états de services à la CRT."
Goulot 3,"Pensions de personnes décédées : en l'absence de signalement rapide des décès, certaines pensions continuent d'être versées indûment (fraude difficile à détecter sans système interconnecté avec l'état civil)."
Goulot 4,"Calcul manuel de la pension : encore partiellement réalisé à la main dans certains cas, source d'erreurs et de contentieux."
Goulot 5,"Contrôle d'existence contraignant : les pensionnés âgés ou invalides doivent se déplacer physiquement chaque année, parfois depuis des régions éloignées."
,,
OUTILS ACTUELS,,
Système de gestion,"Base de données Access + Excel pour la gestion des dossiers de liquidation. Logiciel interne CRT partiellement opérationnel pour le calcul des pensions. Les DRH des ministères utilisent des outils hétérogènes (Excel, ANTILOPE — le SIRH national — partiellement déployé)."
Versement des pensions,"Virement bancaire ou CCP (mandat-poste pour les pensionnés sans compte bancaire, en cours de réduction)"
Stockage des dossiers,"Archives papier à la CRT (plusieurs milliers de dossiers physiques). Numérisation partielle des dossiers récents."
Base de données centralisée,"Partiellement — la CRT dispose d'un fichier numérique des pensionnés actifs, mais non interconnecté avec l'état civil ou les DRH des ministères."
,,
STATISTIQUES,,
Nouveaux dossiers par an,Environ 1 200
Pensionnés actifs gérés,Environ 35 000 (toutes catégories : vieillesse + réversion + invalidité)
Délai moyen de traitement d'un dossier complet,"3 à 6 mois entre le dépôt du dossier complet à la CRT et le premier versement de la pension"
Taux de dossiers incomplets au 1er dépôt,Environ 50 %
Taux de pensions en litige ou contentieux,Environ 5 % des dossiers font l'objet d'une contestation (calcul erroné ou droits contestés)
Nombre d'agents CRT impliqués,Environ 40 agents (Direction des Pensions + comptabilité)
,,
DOCUMENT DÉLIVRÉ,,
Nature du document,"Titre de pension : document officiel attestant des droits à pension, du montant mensuel, de la catégorie et des références de l'agent retraité. Livret de pension remis au pensionné."
Durée de validité,La pension est versée à vie. En cas de décès du pensionné principal et si les conditions sont remplies (mariage légal) : conversion en pension de réversion pour le conjoint survivant.
,,
DIFFICULTÉS ET AXES D'AMÉLIORATION,,
Principales difficultés,"• Dossier très difficile à constituer pour l'agent (multiplicité des guichets)
• Retards dans la transmission des pièces par les DRH des ministères
• Fraude aux pensions de personnes décédées
• Déplacement physique annuel contraignant pour le contrôle d'existence
• Calcul partiellement manuel, source d'erreurs"
Ce qui pourrait être digitalisé,"• Portail de pré-constitution du dossier en ligne avec liste de contrôle interactive
• Transmission électronique des états de services entre DRH et CRT
• Notification automatique par SMS et email à chaque étape du traitement
• Calcul automatique de la pension via le SIRH national (ANTILOPE)
• Contrôle d'existence biométrique à distance (empreinte digitale sur smartphone) ou via les mairies
• Interconnexion CRT – État Civil pour la détection automatique des décès de pensionnés"
Ce qui reste physique obligatoirement,"• La signature du titre de pension par le Directeur Général CRT
• Le contrôle d'existence (dans sa forme actuelle, même si des alternatives biométriques sont envisageables)"
Vision future selon les agents,"Un portail unique permettrait à l'agent de soumettre son dossier, de suivre son avancement et de recevoir son titre de pension numériquement. L'interconnexion entre le SIRH, la CRT et l'état civil permettrait d'automatiser l'essentiel du processus et d'éliminer les pensions frauduleuses."
